Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCY42,OUT027,3683.4711810059994
FDR07,OUT017,1672.3461810059994
FDN40,OUT045,2347.3461810059994
FDB35,OUT027,2952.4711810059994
FDA22,OUT017,2736.3461810059994
NCL06,OUT046,4101.346181006
FDI35,OUT013,2906.3461810059994
NCW42,OUT045,3397.3461810059994
NCX06,OUT049,2944.0961810059994
FDC37,OUT027,3192.4711810059994
FDZ14,OUT018,1783.3461810059994
DRG49,OUT049,3945.0961810059994
NCG06,OUT045,3941.3461810059994
DRC36,OUT045,2711.3461810059994
FDV21,OUT019,22.34618100599937
FDB53,OUT046,2341.3461810059994
DRP47,OUT019,1994.3461810059994
FDA14,OUT013,2340.3461810059994
DRC24,OUT035,2553.3461810059994
FDW21,OUT018,1455.3461810059994
NCH29,OUT046,1549.3461810059994
FDU58,OUT013,3068.3461810059994
FDY27,OUT017,2928.3461810059994
FDV56,OUT035,1945.3461810059994
FDT59,OUT046,3645.3461810059994
FDB23,OUT046,3621.3461810059994
FDR49,OUT045,683.3461810059994
FDB03,OUT010,1926.5961810059994
FDN39,OUT045,2631.3461810059994
FDX02,OUT027,4968.471181006
FDQ16,OUT027,3184.4711810059994
FDU35,OUT018,1373.3461810059994
NCT29,OUT013,1956.3461810059994
FDZ27,OUT046,821.3461810059994
FDN57,OUT017,2352.3461810059994
FDA03,OUT018,2147.3461810059994
FDZ36,OUT045,2911.3461810059994
NCU05,OUT013,1320.3461810059994
FDT39,OUT018,2239.3461810059994
FDK60,OUT017,1712.3461810059994
FDZ25,OUT017,2848.3461810059994
FDG12,OUT046,2013.3461810059994
DRB01,OUT019,1074.3461810059994
NCC43,OUT027,5355.471181006
FDX13,OUT019,1998.3461810059994
FDM22,OUT049,1041.0961810059994
FDJ03,OUT027,2308.4711810059994
FDU14,OUT018,3739.3461810059994
FDB33,OUT010,654.5961810059994
FDP27,OUT046,3005.3461810059994
FDO38,OUT010,-649.4038189940006
FDE28,OUT027,5128.471181006
FDO27,OUT035,1685.3461810059994
DRL23,OUT027,3160.4711810059994
FDS28,OUT046,973.3461810059994
FDX24,OUT013,1538.3461810059994
FDZ02,OUT035,1741.3461810059994
FDL46,OUT045,1807.3461810059994
FDS60,OUT027,4288.471181006
NCO06,OUT017,644.3461810059994
FDO16,OUT035,1517.3461810059994
FDC60,OUT049,1551.0961810059994
FDA48,OUT018,3237.3461810059994
FDZ36,OUT027,4468.471181006
FDK27,OUT045,1875.3461810059994
FDW23,OUT018,435.34618100599937
FDM14,OUT018,1559.3461810059994
FDM14,OUT013,1782.3461810059994
FDW60,OUT018,2651.3461810059994
FDE21,OUT013,1908.3461810059994
NCM42,OUT035,1871.3461810059994
FDY59,OUT010,-365.40381899400063
DRI49,OUT049,1375.0961810059994
FDT28,OUT019,486.34618100599937
FDQ22,OUT018,463.34618100599937
FDR60,OUT049,1335.0961810059994
FDC50,OUT019,-425.65381899400063
FDV24,OUT013,2430.3461810059994
DRF48,OUT010,1110.5961810059994
FDQ47,OUT046,645.3461810059994
DRN36,OUT049,1659.0961810059994
NCY06,OUT035,2159.3461810059994
FDE52,OUT035,1633.3461810059994
NCB54,OUT045,1929.3461810059994
NCF31,OUT035,2535.3461810059994
FDJ08,OUT027,4432.471181006
NCC07,OUT017,1800.3461810059994
NCD19,OUT027,2323.4711810059994
FDL46,OUT049,2039.0961810059994
FDM20,OUT045,3811.3461810059994
NCI06,OUT010,942.5961810059994
DRM11,OUT035,4189.346181006
NCH07,OUT018,2261.3461810059994
FDS23,OUT013,2076.3461810059994
FDO49,OUT018,651.3461810059994
FDS35,OUT049,1165.0961810059994
DRK39,OUT045,1247.3461810059994
DRI39,OUT049,1041.0961810059994
FDV04,OUT017,2640.3461810059994
NCN14,OUT035,2987.3461810059994
FDH08,OUT013,3684.3461810059994
FDS20,OUT046,2901.3461810059994
FDV40,OUT049,1347.0961810059994
FDZ48,OUT010,-125.40381899400063
FDS24,OUT027,2912.4711810059994
FDK44,OUT049,2853.0961810059994
FDS48,OUT045,2351.3461810059994
FDK26,OUT010,1118.5961810059994
FDD23,OUT045,2959.3461810059994
NCH54,OUT017,2644.3461810059994
NCP14,OUT010,-233.40381899400063
FDM60,OUT010,-1173.4038189940006
FDV24,OUT017,2504.3461810059994
FDH08,OUT018,3397.3461810059994
FDS12,OUT027,3456.4711810059994
FDR39,OUT027,4304.471181006
FDP12,OUT027,2120.4711810059994
DRF60,OUT027,5148.471181006
FDC09,OUT035,1841.3461810059994
FDF50,OUT018,2895.3461810059994
FDG28,OUT035,4021.3461810059994
NCE19,OUT017,996.3461810059994
NCM53,OUT010,-177.40381899400063
NCN18,OUT049,1886.0961810059994
FDF32,OUT035,3277.3461810059994
FDF11,OUT013,3858.3461810059994
DRI59,OUT049,3639.0961810059994
NCG54,OUT035,2787.3461810059994
FDM44,OUT046,1645.3461810059994
FDT57,OUT018,3511.3461810059994
FDV24,OUT046,2389.3461810059994
FDI50,OUT019,1726.3461810059994
FDS09,OUT035,1029.3461810059994
NCC31,OUT027,3883.4711810059994
FDQ07,OUT019,1570.3461810059994
FDC22,OUT017,3168.3461810059994
FDZ56,OUT046,2701.3461810059994
FDZ40,OUT019,-1009.6538189940006
FDS46,OUT027,3392.4711810059994
DRD24,OUT045,2159.3461810059994
FDV45,OUT017,3112.3461810059994
FDL26,OUT045,2399.3461810059994
FDA56,OUT018,1759.3461810059994
FDN27,OUT046,1901.3461810059994
FDM20,OUT049,3967.0961810059994
FDO16,OUT017,1464.3461810059994
FDL03,OUT035,3281.3461810059994
FDE58,OUT046,1877.3461810059994
FDI02,OUT027,3280.4711810059994
NCC55,OUT019,-1285.6538189940006
FDR03,OUT018,3087.3461810059994
FDB14,OUT017,1640.3461810059994
FDR45,OUT013,3832.3461810059994
NCN07,OUT017,2168.3461810059994
FDM51,OUT019,-213.65381899400063
FDT52,OUT027,5352.471181006
FDL26,OUT046,2453.3461810059994
NCZ42,OUT046,3749.3461810059994
DRI47,OUT019,398.34618100599937
FDW40,OUT013,2314.3461810059994
FDN34,OUT046,2757.3461810059994
FDS01,OUT035,2969.3461810059994
NCG55,OUT045,1765.3461810059994
FDC11,OUT035,1529.3461810059994
FDX35,OUT018,3387.3461810059994
NCB06,OUT046,2517.3461810059994
FDR09,OUT019,2162.3461810059994
FDC53,OUT017,1688.3461810059994
FDY45,OUT013,4076.3461810059994
FDA22,OUT010,766.5961810059994
FDE02,OUT035,1657.3461810059994
FDW21,OUT045,1607.3461810059994
FDV34,OUT046,1261.3461810059994
FDS59,OUT049,1911.0961810059994
NCW17,OUT017,2140.3461810059994
NCK54,OUT046,1849.3461810059994
FDG17,OUT019,1982.3461810059994
FDG35,OUT017,2928.3461810059994
FDD08,OUT010,-1233.4038189940006
NCO07,OUT017,3428.3461810059994
FDJ10,OUT010,386.59618100599937
FDW36,OUT017,1784.3461810059994
FDW21,OUT010,-177.40381899400063
FDY19,OUT017,2008.3461810059994
DRE03,OUT013,814.3461810059994
NCC55,OUT049,728.0961810059994
FDH52,OUT010,-793.4038189940006
FDO09,OUT017,4304.346181006
FDU43,OUT045,3747.3461810059994
FDX09,OUT010,878.5961810059994
FDH40,OUT019,-529.6538189940006
FDW58,OUT017,1808.3461810059994
FDC47,OUT017,3680.3461810059994
NCR41,OUT035,1639.3461810059994
DRG49,OUT035,3965.3461810059994
FDC52,OUT027,3928.4711810059994
FDY13,OUT046,1229.3461810059994
FDY35,OUT013,836.3461810059994
FDI35,OUT017,2992.3461810059994
NCU18,OUT049,2334.0961810059994
FDY33,OUT018,2331.3461810059994
FDC15,OUT027,3920.4711810059994
FDU01,OUT049,3131.0961810059994
NCU42,OUT046,2673.3461810059994
NCV29,OUT018,2573.3461810059994
NCY30,OUT017,2988.3461810059994
FDQ46,OUT049,1893.0961810059994
FDG58,OUT027,3928.4711810059994
FDK33,OUT017,3496.3461810059994
NCD07,OUT045,1749.3461810059994
NCX29,OUT027,3711.4711810059994
NCT42,OUT013,2368.3461810059994
DRN59,OUT035,885.3461810059994
FDI44,OUT035,1409.3461810059994
FDA45,OUT049,2903.0961810059994
FDP31,OUT045,1027.3461810059994
FDY01,OUT046,1861.3461810059994
FDT09,OUT018,1957.3461810059994
DRH03,OUT027,2984.4711810059994
FDA36,OUT018,2747.3461810059994
NCF31,OUT017,2524.3461810059994
FDG14,OUT049,2559.0961810059994
FDG28,OUT027,5360.471181006
FDU14,OUT049,4051.0961810059994
FDY47,OUT019,222.34618100599937
FDI56,OUT049,1559.0961810059994
DRD01,OUT013,994.3461810059994
FDM22,OUT046,989.3461810059994
FDH33,OUT013,730.3461810059994
DRZ24,OUT013,1898.3461810059994
NCQ38,OUT046,1681.3461810059994
FDO16,OUT027,2820.4711810059994
FDU07,OUT027,3820.4711810059994
NCB07,OUT013,3072.3461810059994
FDU48,OUT045,2039.3461810059994
NCM43,OUT045,2533.3461810059994
FDR31,OUT010,454.59618100599937
DRK49,OUT018,463.34618100599937
NCI30,OUT010,1934.5961810059994
DRD60,OUT017,2968.3461810059994
NCG19,OUT046,3661.3461810059994
FDH12,OUT035,1817.3461810059994
FDM32,OUT035,1625.3461810059994
FDM27,OUT035,2633.3461810059994
NCU53,OUT027,4075.4711810059994
NCQ18,OUT046,1553.3461810059994
FDS10,OUT013,2876.3461810059994
FDB33,OUT027,3960.4711810059994
FDI12,OUT013,1458.3461810059994
NCW42,OUT013,3496.3461810059994
NCC06,OUT018,1817.3461810059994
FDW02,OUT017,2176.3461810059994
NCD43,OUT017,1772.3461810059994
FDM57,OUT018,1167.3461810059994
FDA58,OUT017,3832.3461810059994
FDK56,OUT046,2909.3461810059994
FDP52,OUT045,3647.3461810059994
FDW20,OUT018,1771.3461810059994
FDS52,OUT049,1739.0961810059994
NCT29,OUT018,1669.3461810059994
NCL54,OUT013,2788.3461810059994
FDC05,OUT045,3099.3461810059994
FDF34,OUT035,3305.3461810059994
FDP03,OUT027,3480.4711810059994
FDD32,OUT010,-489.40381899400063
FDZ10,OUT045,1995.3461810059994
FDZ40,OUT035,1041.3461810059994
FDD51,OUT018,499.34618100599937
NCY30,OUT019,914.3461810059994
FDP58,OUT017,3528.3461810059994
FDV49,OUT017,4280.346181006
FDY24,OUT019,-1037.6538189940006
NCO55,OUT017,1800.3461810059994
FDR13,OUT017,2032.3461810059994
FDS51,OUT017,1144.3461810059994
FDP26,OUT045,1587.3461810059994
NCB54,OUT027,3483.4711810059994
FDF32,OUT017,3224.3461810059994
FDN31,OUT018,2767.3461810059994
DRM48,OUT017,700.3461810059994
FDN20,OUT049,2797.0961810059994
DRL01,OUT046,3733.3461810059994
FDV56,OUT049,1889.0961810059994
DRH13,OUT027,3164.4711810059994
FDA03,OUT017,2480.3461810059994
FDF47,OUT027,4968.471181006
FDX32,OUT046,2365.3461810059994
FDX57,OUT049,1711.0961810059994
NCA30,OUT045,2897.3461810059994
FDO49,OUT013,908.3461810059994
FDL04,OUT019,-249.65381899400063
DRM48,OUT035,741.3461810059994
FDR16,OUT013,3414.3461810059994
NCC19,OUT018,2785.3461810059994
NCE42,OUT045,3625.3461810059994
FDY24,OUT017,1048.3461810059994
FDH19,OUT049,2895.0961810059994
FDJ46,OUT013,2782.3461810059994
FDN45,OUT010,1622.5961810059994
FDY08,OUT035,2381.3461810059994
FDZ37,OUT035,1593.3461810059994
NCT30,OUT045,689.3461810059994
DRY23,OUT018,501.34618100599937
NCZ30,OUT018,1705.3461810059994
FDC44,OUT018,1567.3461810059994
FDB45,OUT035,1829.3461810059994
FDY04,OUT013,2674.3461810059994
FDM27,OUT046,2597.3461810059994
FDZ43,OUT017,3960.3461810059994
FDT39,OUT019,546.3461810059994
NCC06,OUT019,98.34618100599937
FDL15,OUT027,3892.4711810059994
FDL57,OUT017,4208.346181006
FDU08,OUT046,1597.3461810059994
FDK40,OUT017,4272.346181006
FDQ12,OUT010,1730.5961810059994
FDS48,OUT017,2520.3461810059994
FDP09,OUT045,3287.3461810059994
FDW21,OUT049,1759.0961810059994
FDY25,OUT035,3005.3461810059994
DRE13,OUT017,1488.3461810059994
FDV43,OUT019,-1201.6538189940006
FDD22,OUT045,1711.3461810059994
FDM46,OUT019,-465.65381899400063
NCO30,OUT010,1026.5961810059994
FDM25,OUT046,2797.3461810059994
NCN41,OUT049,2048.0961810059994
FDU24,OUT045,1455.3461810059994
FDZ50,OUT046,2949.3461810059994
FDP45,OUT013,4044.3461810059994
NCM54,OUT045,1921.3461810059994
FDW10,OUT019,854.3461810059994
FDP20,OUT017,2160.3461810059994
FDK32,OUT046,2453.3461810059994
FDN52,OUT049,1553.0961810059994
FDM58,OUT045,1783.3461810059994
FDZ46,OUT027,3220.4711810059994
NCA18,OUT018,1629.3461810059994
FDD35,OUT046,1957.3461810059994
NCK31,OUT035,943.3461810059994
FDI40,OUT027,3096.4711810059994
FDT50,OUT019,-321.65381899400063
NCT06,OUT046,2593.3461810059994
FDT31,OUT035,3121.3461810059994
FDT45,OUT049,991.0961810059994
FDT13,OUT045,2899.3461810059994
FDO50,OUT045,1395.3461810059994
NCU18,OUT010,326.59618100599937
NCR54,OUT049,3154.0961810059994
NCO18,OUT018,2585.3461810059994
FDU09,OUT045,907.3461810059994
FDT13,OUT018,2757.3461810059994
FDE09,OUT046,1813.3461810059994
NCK53,OUT019,-309.65381899400063
FDG45,OUT049,3499.0961810059994
DRH15,OUT035,861.3461810059994
FDO21,OUT019,1682.3461810059994
FDD14,OUT027,4336.471181006
FDC09,OUT046,1709.3461810059994
FDH45,OUT027,2216.4711810059994
FDV32,OUT046,1061.3461810059994
FDG12,OUT035,2097.3461810059994
FDS32,OUT013,2320.3461810059994
NCL55,OUT018,3701.3461810059994
DRE01,OUT035,3921.3461810059994
DRE15,OUT049,1351.0961810059994
NCL42,OUT045,3797.3461810059994
FDP31,OUT013,1106.3461810059994
FDN33,OUT018,1315.3461810059994
FDZ59,OUT046,2653.3461810059994
FDE45,OUT010,938.5961810059994
FDJ07,OUT013,1938.3461810059994
FDQ45,OUT018,2755.3461810059994
FDM33,OUT027,4896.471181006
FDO15,OUT010,-589.4038189940006
FDM46,OUT013,1500.3461810059994
FDR03,OUT045,3235.3461810059994
FDY49,OUT018,2479.3461810059994
FDQ60,OUT045,1863.3461810059994
FDW10,OUT049,2925.0961810059994
FDO51,OUT049,907.0961810059994
FDJ40,OUT018,1575.3461810059994
FDS20,OUT018,2663.3461810059994
FDU45,OUT013,1890.3461810059994
FDV02,OUT035,2821.3461810059994
FDN09,OUT046,3821.3461810059994
NCM55,OUT027,4371.471181006
FDN23,OUT018,2121.3461810059994
FDY31,OUT010,422.59618100599937
FDW03,OUT010,-121.40381899400063
FDD14,OUT046,2877.3461810059994
FDV23,OUT017,2104.3461810059994
DRI03,OUT045,2699.3461810059994
FDN13,OUT035,1713.3461810059994
FDF45,OUT027,2496.4711810059994
FDU46,OUT035,1609.3461810059994
FDB57,OUT049,3671.0961810059994
FDV12,OUT049,1785.0961810059994
FDQ58,OUT013,2442.3461810059994
NCA18,OUT017,1944.3461810059994
FDH52,OUT049,1189.0961810059994
FDM24,OUT018,2203.3461810059994
NCP43,OUT027,4299.471181006
NCO18,OUT019,866.3461810059994
FDM32,OUT017,1592.3461810059994
NCL07,OUT017,740.3461810059994
FDK03,OUT013,4060.3461810059994
FDP59,OUT017,1808.3461810059994
FDQ24,OUT049,4079.0961810059994
FDQ16,OUT018,1545.3461810059994
FDU44,OUT013,2628.3461810059994
FDH28,OUT010,-1209.4038189940006
FDV28,OUT019,-1305.6538189940006
FDM22,OUT045,875.3461810059994
FDR56,OUT046,3141.3461810059994
FDV39,OUT049,3229.0961810059994
FDU37,OUT019,-585.6538189940006
FDQ11,OUT010,2230.5961810059994
FDX02,OUT045,3455.3461810059994
NCS42,OUT018,1245.3461810059994
FDY57,OUT027,3008.4711810059994
FDB21,OUT049,3891.0961810059994
FDE28,OUT017,3760.3461810059994
FDQ55,OUT017,1984.3461810059994
FDA48,OUT049,3601.0961810059994
FDZ19,OUT045,2683.3461810059994
NCC43,OUT045,3861.3461810059994
NCV18,OUT046,1293.3461810059994
NCA42,OUT018,2281.3461810059994
FDY45,OUT046,4045.3461810059994
NCC30,OUT045,2741.3461810059994
FDM57,OUT013,1458.3461810059994
FDL09,OUT010,770.5961810059994
FDB09,OUT027,3444.4711810059994
FDT44,OUT035,2025.3461810059994
NCT06,OUT027,4031.4711810059994
FDX26,OUT049,3001.0961810059994
FDK32,OUT013,2514.3461810059994
DRA12,OUT046,2265.3461810059994
FDO46,OUT010,1142.5961810059994
FDE52,OUT013,1488.3461810059994
NCH42,OUT045,3533.3461810059994
FDV08,OUT035,849.3461810059994
FDB47,OUT018,3101.3461810059994
FDC28,OUT010,-121.40381899400063
FDD22,OUT046,1813.3461810059994
FDS07,OUT027,3280.4711810059994
DRI13,OUT045,3343.3461810059994
FDG32,OUT018,3267.3461810059994
FDU14,OUT017,4056.3461810059994
FDD28,OUT019,-949.6538189940006
NCP41,OUT017,1856.3461810059994
FDS08,OUT049,2879.0961810059994
FDX47,OUT045,2483.3461810059994
FDC53,OUT019,-277.65381899400063
FDQ19,OUT035,3989.3461810059994
FDL14,OUT045,2443.3461810059994
FDM33,OUT019,1554.3461810059994
FDA51,OUT045,1759.3461810059994
FDZ27,OUT018,603.3461810059994
FDT04,OUT046,693.3461810059994
DRC13,OUT049,2131.0961810059994
FDR16,OUT027,4864.471181006
FDQ03,OUT027,5208.471181006
FDE38,OUT035,2797.3461810059994
DRH23,OUT027,2340.4711810059994
FDT11,OUT019,1110.3461810059994
FDD09,OUT035,2989.3461810059994
FDR40,OUT045,1331.3461810059994
FDX07,OUT017,3072.3461810059994
FDR07,OUT035,1697.3461810059994
FDA51,OUT017,1960.3461810059994
FDT59,OUT019,1730.3461810059994
FDF20,OUT017,3200.3461810059994
FDR13,OUT045,1823.3461810059994
FDY26,OUT049,3479.0961810059994
FDW04,OUT017,2232.3461810059994
FDK52,OUT017,3680.3461810059994
FDN60,OUT049,2595.0961810059994
FDM09,OUT019,822.3461810059994
FDP46,OUT049,1523.0961810059994
FDB50,OUT019,-673.6538189940006
NCQ29,OUT049,4138.096181006
FDP16,OUT027,5316.471181006
FDX33,OUT018,2367.3461810059994
FDP07,OUT010,1242.5961810059994
FDN22,OUT046,3981.3461810059994
FDF39,OUT049,4295.096181006
FDS21,OUT017,1176.3461810059994
NCM42,OUT013,1732.3461810059994
FDK50,OUT019,686.3461810059994
DRF13,OUT027,3772.4711810059994
FDH35,OUT018,2381.3461810059994
FDP60,OUT018,1379.3461810059994
DRJ49,OUT027,3516.4711810059994
NCT42,OUT019,430.34618100599937
FDE38,OUT049,2769.0961810059994
FDI04,OUT049,3289.0961810059994
NCH54,OUT045,2405.3461810059994
FDT56,OUT049,1113.0961810059994
DRD15,OUT018,3423.3461810059994
FDV58,OUT013,3126.3461810059994
FDP21,OUT049,3121.0961810059994
FDH05,OUT013,3738.3461810059994
FDR10,OUT027,4024.4711810059994
NCP06,OUT045,2285.3461810059994
FDF33,OUT049,1825.0961810059994
DRK37,OUT013,3016.3461810059994
DRH49,OUT045,1303.3461810059994
FDT58,OUT013,2680.3461810059994
FDD41,OUT018,1493.3461810059994
FDP40,OUT018,1601.3461810059994
FDM51,OUT027,3136.4711810059994
FDO45,OUT010,-437.40381899400063
FDW33,OUT010,-201.40381899400063
FDY24,OUT045,899.3461810059994
FDB10,OUT010,1842.5961810059994
FDM40,OUT035,2361.3461810059994
NCI06,OUT017,2952.3461810059994
FDW12,OUT019,422.34618100599937
FDX48,OUT027,3960.4711810059994
NCW05,OUT027,3119.4711810059994
FDX27,OUT017,1680.3461810059994
DRM37,OUT045,3035.3461810059994
FDA38,OUT045,3743.3461810059994
FDR36,OUT046,709.3461810059994
FDZ45,OUT046,3141.3461810059994
FDG05,OUT017,2664.3461810059994
FDK28,OUT013,4096.346181006
FDV47,OUT045,1319.3461810059994
FDN21,OUT045,2475.3461810059994
FDP20,OUT027,3484.4711810059994
FDI35,OUT045,2811.3461810059994
DRY23,OUT013,776.3461810059994
FDA56,OUT017,2088.3461810059994
FDB09,OUT013,2004.3461810059994
NCO26,OUT027,3291.4711810059994
FDQ49,OUT018,2319.3461810059994
FDI52,OUT027,3392.4711810059994
FDZ44,OUT027,3336.4711810059994
FDZ09,OUT018,2377.3461810059994
FDY03,OUT049,1963.0961810059994
NCG42,OUT017,2164.3461810059994
DRI13,OUT027,4876.471181006
FDQ32,OUT013,2090.3461810059994
FDW16,OUT035,1657.3461810059994
FDU27,OUT046,805.3461810059994
FDR28,OUT010,750.5961810059994
FDQ49,OUT010,674.5961810059994
FDS37,OUT046,1869.3461810059994
FDW26,OUT018,3291.3461810059994
FDX12,OUT018,3629.3461810059994
NCP06,OUT013,2404.3461810059994
FDW45,OUT010,430.59618100599937
NCN30,OUT049,1618.0961810059994
FDN24,OUT049,977.0961810059994
NCL41,OUT027,1995.4711810059994
FDR02,OUT019,-141.65381899400063
FDD09,OUT010,986.5961810059994
FDS33,OUT010,-401.40381899400063
FDU22,OUT045,1835.3461810059994
FDI53,OUT013,2634.3461810059994
DRH01,OUT049,2863.0961810059994
FDX32,OUT013,2344.3461810059994
NCP30,OUT018,437.34618100599937
FDB60,OUT045,3035.3461810059994
FDB14,OUT049,1649.0961810059994
NCP02,OUT035,1071.3461810059994
FDJ10,OUT017,2376.3461810059994
FDG34,OUT046,1845.3461810059994
NCB18,OUT017,1512.3461810059994
FDM16,OUT049,1369.0961810059994
FDW25,OUT018,1149.3461810059994
FDB35,OUT010,-373.40381899400063
DRN11,OUT013,2264.3461810059994
FDF41,OUT019,1958.3461810059994
FDH16,OUT045,1359.3461810059994
NCQ50,OUT018,3109.3461810059994
DRH23,OUT018,677.3461810059994
DRJ37,OUT013,2426.3461810059994
DRJ24,OUT027,4340.471181006
FDY16,OUT035,3073.3461810059994
FDQ27,OUT045,1667.3461810059994
FDZ33,OUT045,2279.3461810059994
FDF29,OUT045,2083.3461810059994
FDA08,OUT049,2743.0961810059994
FDG31,OUT046,1101.3461810059994
FDE34,OUT019,1030.3461810059994
NCR30,OUT027,2623.4711810059994
FDV33,OUT035,4249.346181006
DRZ24,OUT018,1709.3461810059994
NCL54,OUT035,2843.3461810059994
FDR12,OUT049,2899.0961810059994
NCC54,OUT046,3777.3461810059994
DRN59,OUT013,812.3461810059994
FDX50,OUT019,-153.65381899400063
FDV31,OUT027,4256.471181006
NCA29,OUT027,4167.471181006
FDW60,OUT049,2963.0961810059994
FDX08,OUT017,3008.3461810059994
DRD49,OUT013,3706.3461810059994
FDD33,OUT046,3629.3461810059994
FDW35,OUT013,760.3461810059994
FDJ36,OUT017,1800.3461810059994
FDV51,OUT035,2781.3461810059994
FDW36,OUT046,1717.3461810059994
FDH35,OUT046,2621.3461810059994
NCS30,OUT027,3499.4711810059994
FDN49,OUT017,792.3461810059994
FDL08,OUT018,3651.3461810059994
FDI09,OUT013,3840.3461810059994
FDP19,OUT018,1813.3461810059994
FDU21,OUT010,-1281.4038189940006
NCP41,OUT045,1645.3461810059994
FDY10,OUT013,1842.3461810059994
FDP12,OUT018,451.34618100599937
NCN26,OUT049,1944.0961810059994
FDK44,OUT013,2780.3461810059994
FDC28,OUT049,1857.0961810059994
FDJ41,OUT027,5596.471181006
NCT29,OUT035,2079.3461810059994
NCH42,OUT019,1666.3461810059994
FDU60,OUT018,2475.3461810059994
FDS02,OUT045,3003.3461810059994
FDC51,OUT046,2029.3461810059994
FDU03,OUT013,2960.3461810059994
FDX39,OUT045,3319.3461810059994
NCY05,OUT010,-1289.4038189940006
NCL06,OUT027,5507.471181006
FDD32,OUT035,1509.3461810059994
NCN41,OUT045,1869.3461810059994
NCX53,OUT049,2346.0961810059994
FDU57,OUT019,494.34618100599937
FDQ23,OUT046,1685.3461810059994
FDQ52,OUT045,3835.3461810059994
FDC14,OUT045,663.3461810059994
FDY09,OUT035,2945.3461810059994
FDQ28,OUT045,2459.3461810059994
FDV25,OUT046,3493.3461810059994
FDJ07,OUT035,2005.3461810059994
DRB25,OUT049,1791.0961810059994
FDK52,OUT019,1622.3461810059994
FDY52,OUT027,2496.4711810059994
FDB28,OUT046,3117.3461810059994
FDT36,OUT035,737.3461810059994
FDV25,OUT017,3616.3461810059994
NCN07,OUT027,3511.4711810059994
FDC57,OUT017,3216.3461810059994
FDQ03,OUT018,3547.3461810059994
FDU23,OUT017,2768.3461810059994
NCX41,OUT035,3475.3461810059994
NCD06,OUT035,879.3461810059994
FDW08,OUT045,1619.3461810059994
NCU29,OUT017,2400.3461810059994
NCE06,OUT013,2548.3461810059994
FDV52,OUT010,14.59618100599937
FDB02,OUT017,2960.3461810059994
NCR18,OUT045,637.3461810059994
FDK16,OUT049,1657.0961810059994
NCQ29,OUT010,2130.5961810059994
FDZ01,OUT019,-185.65381899400063
FDW27,OUT035,2649.3461810059994
FDD17,OUT018,3533.3461810059994
FDW39,OUT013,2878.3461810059994
DRH59,OUT045,1095.3461810059994
FDS52,OUT013,1684.3461810059994
FDU40,OUT027,4544.471181006
NCF54,OUT013,2760.3461810059994
FDH46,OUT045,1631.3461810059994
NCP14,OUT049,1732.0961810059994
FDH50,OUT049,3111.0961810059994
DRF15,OUT010,538.5961810059994
FDV27,OUT027,2912.4711810059994
NCJ06,OUT049,2012.0961810059994
FDN02,OUT018,3021.3461810059994
